avg_cost,cuisines,id,location,name,price_range,rating
400,"Fast Food, North Indian",18628727,"15, Second Floor, Above R L Computers, 3rd Cross, 10th Main Jeevan Bima Nagar Road, Jeevan Bhima Nagar, Bangalore",Raat Ki Rani,1,4.3
1600,"Asian, Thai, Chinese, BBQ, Momos",58698,"949, 12th Main, Ground Floor, Off 100 Feet Road, Indiranagar, Bangalore",Mamagoto,3,4.4
500,"North Indian, Biryani, Sandwich, Rolls, Salad, Ice Cream",18173083,"A.T.R  Complex, Old Airport Road, Bangalore",BOX8- Desi Meals,2,4.3
1100,"Vietnamese, Salad",51600,"965, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",Phobidden Fruit,3,4.4
1400,"North Indian, Continental, Chinese",54470,"773, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Vapour Pub & Brewery,3,4.2
1700,"Chinese, Momos",50634,"4032, 100 ft Road, HAL II stage Next to Domlur Bridge, Indiranagar, Bangalore",Mainland China,3,4.4
600,"Bakery, Cafe, Italian, Desserts",56464,"297, 100 Feet Road, Indiranagar, Bangalore",Glen's Bakehouse,2,4.2
550,"Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",59422,"50, Zatakia Centre, 100 Feet Road, Indiranagar, Bangalore",Stoner,2,4.4
800,"Cafe, Continental",18414384,"618, 2nd Main Road, Binnamangala, Hoysala Nagar, Indiranagar, Bangalore",The Teal Door Cafe,2,4.2
1200,Mexican,57736,"218, Near BDA Complex, Double Road, Indiranagar, Bangalore",Chinita Real Mexican Food,3,4.4
1200,"North Indian, Chinese, Continental",18670906,"2011,1st Floor, HAL 2nd Stage,100 Feet Road, Indiranagar, Bangalore",Urban Tamaasha,3,4.2
1000,"Seafood, Mangalorean",18571539,"322/1, 1st Floor, CMH Road, Indiranagar, Bangalore",Maravanthe,3,4.4
750,"Biryani, Chinese, North Indian, Seafood",59690,"544, First Floor, Near Indiranagar Metro Station, CMH Road, Indiranagar, Bangalore",Meghana Foods,2,4.2
1200,"Seafood, Continental, North Indian, South Indian",18627754,"311, Gowra, Binnamangala, 1st Stage, Indiranagar, Bangalore",The Marina,3,4.4
1300,"Russian, Continental, North Indian",18089687,"276, Above Girias Showroom, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Tippler,3,4.2
300,"Desserts, Ice Cream",18513649,"298, 6th Main, Opposite Iris Apartment, 2nd Stage, Indiranagar, Bangalore",GMT - Gelateria Montecatini Terme,1,4.4
1500,"Chinese, Continental, Finger Food, Italian",59744,"303, 100 Feet Road, Indiranagar, Bangalore",Barebones - The Balcony Bar,3,4.2
600,"Cafe, Fast Food, Burger",18725822,"8, 9, 9B, Binnamangala, Manavarthekaval, Michealpalya, 80 Feet Road, Indiranagar, Bangalore",Monet's Bistro,2,4.4
